0.00000000 0.319008
1.1000000000000001 0.31876
1.2100000000000000 0.318747
1.3310000000000002 0.318734
1.4641000000000006 0.31872
1.6105100000000008 0.318705
1.7715610000000011 0.31869
1.9487171000000016 0.318675
2.1435888100000016 0.318659
2.3579476910000019 0.318642
2.5937424601000023 0.318624
2.8531167061100025 0.318605
3.1384283767210031 0.318586
3.4522712143931042 0.318565
3.7974983358324144 0.318543
4.1772481694156562 0.318521
4.5949729863572220 0.318497
5.0544702849929433 0.318472
5.5599173134922379 0.318446
6.1159090448414632 0.318418
6.7274999493256100 0.31839
7.4002499442581708 0.318359
8.1402749386839890 0.318328
8.9543024325523870 0.318295
9.8497326758076280 0.31826
10.834705943388389 0.318223
11.918176537727231 0.318185
13.109994191499954 0.318145
14.420993610649951 0.318103
15.863092971714948 0.318058
17.449402268886445 0.318012
19.194342495775089 0.317963
21.113776745352595 0.317913
23.225154419887858 0.317859
25.547669861876649 0.317803
28.102436848064315 0.317744
30.912680532870748 0.317682
34.003948586157826 0.317618
37.404343444773609 0.31755
41.144777789250973 0.317479
45.259255568176073 0.317404
49.785181124993684 0.317326
54.763699237493050 0.317244
60.240069161242367 0.317158
66.264076077366596 0.317067
72.890483685103263 0.316973
80.179532053613613 0.316873
88.197485258974979 0.316769
97.017233784872474 0.31666
106.71895716335973 0.316545
117.39085287969573 0.316425
129.12993816766530 0.316299
142.04293198443185 0.316167
156.24722518287504 0.316028
171.87194770116253 0.315883
189.05914247127879 0.31573
207.96505671840669 0.31557
228.76156239024741 0.315402
251.63771862927217 0.315226
276.80149049219938 0.315042
304.48163954141938 0.314848
334.92980349556137 0.314645
368.42278384511746 0.314432
405.26506222962922 0.314208
445.79156845259217 0.313973
490.37072529785144 0.313727
539.40779782763673 0.313469
593.34857761040041 0.313198
652.68343537144040 0.312914
717.95177890858463 0.312616
789.74695679944318 0.312302
868.72165247938756 0.311974
955.59381772732627 0.311629
1051.1531995000591 0.311266
1156.2685194500652 0.310886
1271.8953713950716 0.310486
1399.0849085345790 0.310066
1538.9933993880372 0.309624
1692.8927393268411 0.30916
1862.1820132595251 0.308671
2048.4002145854779 0.308157
2253.2402360440260 0.307616
2478.5642596484290 0.307046
2726.4206856132723 0.306444
2999.0627541745998 0.30581
3298.9690295920600 0.30514
3628.8659325512658 0.304432
3991.7525258063934 0.303682
4390.9277783870330 0.302889
4830.0205562257361 0.302047
5313.0226118483115 0.301154
5844.3248730331425 0.300204
6428.7573603364581 0.299192
7071.6330963701048 0.298115
7778.7964060071163 0.296965
8556.6760466078285 0.295736
9412.3436512686112 0.294422
10353.578016395473 0.293016
11388.935818035023 0.29151
12527.829399838523 0.289894
13780.612339822377 0.288158
15158.673573804615 0.286291
16674.540931185082 0.284276
18341.995024303593 0.282097
20176.194526733954 0.279734
22193.813979407350 0.277166
24413.195377348089 0.274373
26854.514915082898 0.271339
29539.966406591189 0.268043
32493.963047250309 0.264447
35743.359351975349 0.260484
39317.695287172879 0.256072
43249.464815890176 0.251166
47574.411297479201 0.245784
52331.852427227117 0.239934
57565.037669949845 0.233503
63321.541436944834 0.226412
69653.695580639309 0.218807
76619.065138703256 0.210664
84280.971652573586 0.201788
92709.068817830950 0.192367
101979.97569961405 0.182402
112177.97326957546 0.172015
123395.77059653302 0.161337
135735.34765618632 0.150367
149308.88242180497 0.139371
164239.77066398552 0.128535
180663.74773038409 0.117669
198730.12250342252 0.10722
218603.13475376478 0.09704
240463.44822914127 0.087369
264509.79305205541 0.0782159
290960.77235726098 0.0696722
320056.84959298710 0.0617788
352062.53455228586 0.0544907
387268.78800751443 0.0478449
425995.66680826596 0.0418141
468595.23348909261 0.0363255
515454.75683800189 0.0313921
567000.23252180207 0.0270227
623700.25577398238 0.0231313
686070.28135138063 0.0197262
754677.30948651873 0.0167322
830145.04043517052 0.0141619
913159.54447868769 0.0119553
1004475.4989265566 0.0100731
1104923.0488192122 0.00850382
1215415.3537011335 0.00719167
1336956.8890712473 0.00610391
1470652.5779783721 0.00520485
1617717.8357762091 0.00444184
1779489.6193538303 0.00382719
1957438.5812892134 0.00332708
2153182.4394181347 0.00291155
2368500.6833599485 0.00257161
2605350.7516959440 0.0022891
2865885.8268655385 0.00204663
3152474.4095520927 0.00183832
3467721.8505073017 0.0016516
3814494.0355580328 0.00148315
4195943.4391138367 0.00132562
4615537.7830252200 0.00117925
5077091.5613277424 0.00104029
5584800.7174605168 0.000911967
6143280.7892065700 0.000793059
6757608.8681272268 0.000687023
7433369.7549399501 0.000594253
8176706.7304339455 0.000518634
8994377.4034773409 0.000457048
9893815.1438250765 0.000404908
